肖申克的救赎 The Shawshank Redemption,9.7,345617,['不需要女主角的好电影', '策划了19年的私奔……', '超级喜欢超级喜欢,不看的话人生不圆满.', '人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope', '因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！'],不需要女主角的好电影,策划了19年的私奔……,超级喜欢超级喜欢,不看的话人生不圆满.,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！ 
霸王别姬,9.6,278922,['陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原', '不解,拍出过霸王别姬的人怎能拍出无极来', '人戏不分，不疯魔不成活。', '仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。', '凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……'],陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,不解,拍出过霸王别姬的人怎能拍出无极来,人戏不分，不疯魔不成活。,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕…… 
阿甘正传 Forrest Gump,9.5,221737,['我生命里最温暖的一部电影', '太甜美的美國夢', '人生就像一盒巧克力，你不知道会选中哪一颗。', '这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”', '他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。'],我生命里最温暖的一部电影,太甜美的美國夢,人生就像一盒巧克力，你不知道会选中哪一颗。,这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。 
三傻大闹宝莱坞 3 Idiots,9.2,243700,['看了这部电影是我2010年最幸运的一件事 力荐！', '当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。', '一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。 末了的那段风光让我无比钟情！★★★★★', '如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“All is well”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。', '恶俗 平庸 无病呻吟。男主角表情非常贱，地球上的星星里面恶心了我一次，现在又恶心我一次。  '],看了这部电影是我2010年最幸运的一件事 力荐！,当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。,一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。 末了的那段风光让我无比钟情！★★★★★,如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“All is well”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。,恶俗 平庸 无病呻吟。男主角表情非常贱，地球上的星星里面恶心了我一次，现在又恶心我一次。   
楚门的世界 The Truman Show,9.3,188537,['“如果再也不能见到你，祝你早安，午安和晚安。”', '我是不是也在楚门的世界活着？', '每个人都向往自由而不仅仅是安定', '最讽刺的难道不是电视旁的所谓观众么？导演老头子都比他们真情实感多了 观众为了他落泪欢呼击掌又如何 之前却从未想过让他离开 之后也只是换了一个节目频道罢了', '打开这道门，即便现实再最肮脏也请让我自己感受！关掉你的镜头，即使现实再无奈你也必须自己体验！'],“如果再也不能见到你，祝你早安，午安和晚安。”,我是不是也在楚门的世界活着？,每个人都向往自由而不仅仅是安定,最讽刺的难道不是电视旁的所谓观众么？导演老头子都比他们真情实感多了 观众为了他落泪欢呼击掌又如何 之前却从未想过让他离开 之后也只是换了一个节目频道罢了,打开这道门，即便现实再最肮脏也请让我自己感受！关掉你的镜头，即使现实再无奈你也必须自己体验！ 
放牛班的春天 Les choristes,9.3,141953,['那漫天飘扬的纸飞机是我对你最诚挚的敬意。', '体育和音乐是促进国家团结的要素。可是俺都不会哈哈。', '男孩的声音真是好听……', '看开头第一眼我就知道我喜欢。从来没有教不好的学生只有不会教的老师。人与人之间的交流是用心的，在我看着你的眼睛的时候我知道你是真心为我着想的，所以我才愿意选择相信。就这样。看一部好电影的感觉像是给心灵洗了一个热水澡。从里到外都会感觉到清澈的感觉。', '所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。'],那漫天飘扬的纸飞机是我对你最诚挚的敬意。,体育和音乐是促进国家团结的要素。可是俺都不会哈哈。,男孩的声音真是好听……,看开头第一眼我就知道我喜欢。从来没有教不好的学生只有不会教的老师。人与人之间的交流是用心的，在我看着你的眼睛的时候我知道你是真心为我着想的，所以我才愿意选择相信。就这样。看一部好电影的感觉像是给心灵洗了一个热水澡。从里到外都会感觉到清澈的感觉。,所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。 
星际穿越 Interstellar,9.3,236055,['时间可以伸缩和折叠，唯独不能倒退。你的鹤发或许是我的童颜，而我一次呼吸能抵过你此生的岁月。', "太壮阔了，无以言表！40'渐入佳境，80'叹为观止，120'泪流满面，160'恍如隔世…不曾如此贴近浩瀚星空，被它环抱；不曾如此触摸生命之弦，遁入五维幻境。瑕不掩瑜的科幻神作，刷新视觉的IMAX体验，观影前撒好尿，准备接受近三小时的泪腺洗礼。“爱是一种力量，让我们超越时空感知它的存在”-发自豆瓣App", '非常理想化，所以显得很有种，没有公司敢让任何人拍这样的电影。致敬库布里克的镜头体现了导演的少女心。但有2001珠玉在前，我认为这部顶多和它并驾齐驱。诺兰尽其所能拍出了触手可及的科幻，硬核又充满人性，温情又隐含黑暗面，让人潸然泪下。“理想化”是不是削弱了剧本？大家保留各自意见吧。', '赶着首映翘课去看了imax版。诺兰一直在围绕人物内心讲故事，配上宇宙孤独梗，目瞪口呆或许是夸张，但泪流满面了几次绝对是事实。很多宇宙中的片段没有背景音乐，全场安静地如梦如幻。影片结束后随着观众鼓了掌，能和这样出色的人类活在同一个时代，的确是我的幸运。 期待影片明年多拿到几个提名', '一边太空冒险，一边是通俗的情感戏。无论外表多硬科幻：虫洞、黑洞、太空冒险、多维空间……最核心的仍是亲情与爱。科学与理论其实都是为感情服务的，用很硬的外壳包裹最柔软的情感。也因为此，它不会是2001那样严肃伟大的科幻片，但却有更饱满的感情。包括那些泪点'],时间可以伸缩和折叠，唯独不能倒退。你的鹤发或许是我的童颜，而我一次呼吸能抵过你此生的岁月。,太壮阔了，无以言表！40'渐入佳境，80'叹为观止，120'泪流满面，160'恍如隔世…不曾如此贴近浩瀚星空，被它环抱；不曾如此触摸生命之弦，遁入五维幻境。瑕不掩瑜的科幻神作，刷新视觉的IMAX体验，观影前撒好尿，准备接受近三小时的泪腺洗礼。“爱是一种力量，让我们超越时空感知它的存在”-发自豆瓣App,非常理想化，所以显得很有种，没有公司敢让任何人拍这样的电影。致敬库布里克的镜头体现了导演的少女心。但有2001珠玉在前，我认为这部顶多和它并驾齐驱。诺兰尽其所能拍出了触手可及的科幻，硬核又充满人性，温情又隐含黑暗面，让人潸然泪下。“理想化”是不是削弱了剧本？大家保留各自意见吧。,赶着首映翘课去看了imax版。诺兰一直在围绕人物内心讲故事，配上宇宙孤独梗，目瞪口呆或许是夸张，但泪流满面了几次绝对是事实。很多宇宙中的片段没有背景音乐，全场安静地如梦如幻。影片结束后随着观众鼓了掌，能和这样出色的人类活在同一个时代，的确是我的幸运。 期待影片明年多拿到几个提名,一边太空冒险，一边是通俗的情感戏。无论外表多硬科幻：虫洞、黑洞、太空冒险、多维空间……最核心的仍是亲情与爱。科学与理论其实都是为感情服务的，用很硬的外壳包裹最柔软的情感。也因为此，它不会是2001那样严肃伟大的科幻片，但却有更饱满的感情。包括那些泪点 
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153143,['一切的闹闹哄哄，只是他在水帘洞躲避风沙那晚做的一个梦。', '我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死', '一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局…… ', '坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。', '哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的.'],一切的闹闹哄哄，只是他在水帘洞躲避风沙那晚做的一个梦。,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死,一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局…… ,坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。,哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的. 
熔炉 도가니,9.3,136684,['想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。', '我们无法改变世界，但我们可以选择不被世界改变...', '不说别的，光电影那股正义的力量，就足以让人沸腾。', '令人绝望的不是电影，而是生活本身。', '一个文科生，每天背着政治生活，背四项基本原则我国的国体公民的权利。亲眼看着热搜被撤下，视频被删除，三种颜色消失不见。豫章书院还存在，赵V再也没有人提及，国乒事件最后化为一题选择题。熔炉的故事真实发生在我所在的国度。“我们一路奋战，不是为了改变世界，而是为了不让世界改变我们。”'],想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。,我们无法改变世界，但我们可以选择不被世界改变...,不说别的，光电影那股正义的力量，就足以让人沸腾。,令人绝望的不是电影，而是生活本身。,一个文科生，每天背着政治生活，背四项基本原则我国的国体公民的权利。亲眼看着热搜被撤下，视频被删除，三种颜色消失不见。豫章书院还存在，赵V再也没有人提及，国乒事件最后化为一题选择题。熔炉的故事真实发生在我所在的国度。“我们一路奋战，不是为了改变世界，而是为了不让世界改变我们。” 
疯狂动物城 Zootopia,9.2,229373,['不仅是个小孩子玩玩闹闹的喜剧动画，成年人同样可以很享受这个故事。一个动物的乌托邦，理想与现实。有一个有趣的案件，又有很多关于人类世界的暗喻与指涉，还有教父或毒师这样的小梗。以及狐狸和兔子都那么可爱，那么搭。', '做冰棍那机智的不像话！！！全片最爱！！！想吃！！！', '不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！', '赞 看完赶脚世界都美好了', '超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！'],不仅是个小孩子玩玩闹闹的喜剧动画，成年人同样可以很享受这个故事。一个动物的乌托邦，理想与现实。有一个有趣的案件，又有很多关于人类世界的暗喻与指涉，还有教父或毒师这样的小梗。以及狐狸和兔子都那么可爱，那么搭。,做冰棍那机智的不像话！！！全片最爱！！！想吃！！！,不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！,赞 看完赶脚世界都美好了,超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！ 
无间道 無間道,9.2,112090,['“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。', '刘嘉玲说：当年拍无间道的时候梁朝伟每天只开工三四个点就回家，拍了二十多天就拍完了，之后就是获奖无数。演戏这种事，不得不承认是有天赋的。', '一气呵成。梁朝伟的眼神令人揪心。', '经典港片，无间道，如人生~~', '难怪高中时大家那么喜欢。片尾才发现，陈永仁的生日和我一样。'],“出来混，迟早要还的。” 别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。,刘嘉玲说：当年拍无间道的时候梁朝伟每天只开工三四个点就回家，拍了二十多天就拍完了，之后就是获奖无数。演戏这种事，不得不承认是有天赋的。,一气呵成。梁朝伟的眼神令人揪心。,经典港片，无间道，如人生~~,难怪高中时大家那么喜欢。片尾才发现，陈永仁的生日和我一样。 
龙猫 となりのトトロ,9.2,148673,['那音乐壮丽的响起的时候，觉得心里被一种温暖充满，然后实在控制不住眼泪了，不是因为伤心，而是因为，它给人的感觉，实在美好到无法表达了．', '如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦', '原来龙猫的戏份这么少啊。', '龙猫，好烂漫的幻想。\n消失的乡下风景、慈祥的爷爷奶奶、嬉笑追逐的儿时玩伴，是童年最纯真美好的回忆。', '人人心中都有个龙猫，童年就永远不会消失，爱是最美的拥有～\n\n★★★★★'],那音乐壮丽的响起的时候，觉得心里被一种温暖充满，然后实在控制不住眼泪了，不是因为伤心，而是因为，它给人的感觉，实在美好到无法表达了．,如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦,原来龙猫的戏份这么少啊。,龙猫，好烂漫的幻想。
消失的乡下风景、慈祥的爷爷奶奶、嬉笑追逐的儿时玩伴，是童年最纯真美好的回忆。,人人心中都有个龙猫，童年就永远不会消失，爱是最美的拥有～

★★★★★ 
