,article_href,author,content,comment_time,votes
21,https://movie.douban.com/subject/1292722/,宋阿慕,"
2008-02-20
",一部应该被记住的电影.,3021
22,https://movie.douban.com/subject/1292722/,孔雀鱼,"
2016-12-02
",学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。,1494
23,https://movie.douban.com/subject/1292722/,朋克布莱克,"
2011-07-11
",第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...,735
24,https://movie.douban.com/subject/1292722/,蒜|BOYA✎,"
2008-06-30
","爱情撼动全世界！2008.7.26CCTV6
2018.4.19爱奇艺",535
25,https://movie.douban.com/subject/1291561/,zing,"
2008-03-07
","每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",10895
26,https://movie.douban.com/subject/1291561/,薇羅尼卡,"
2006-03-27
",自认为是宫崎骏最好的一部。|2019.6.22大银幕重温，感谢造梦者。,6072
27,https://movie.douban.com/subject/1291561/,闲潭影,"
2009-12-19
",最好的宫崎骏，最好的久石让。,4187
28,https://movie.douban.com/subject/1291561/,唐喜乐,"
2007-04-08
","你忘了吗?
往下飞的时候眼泪是往上流的.",2449
29,https://movie.douban.com/subject/1291561/,白羽,"
2008-06-23
","又是个成人动画,估计大部分中国观众很难体会什么.",2177
30,https://movie.douban.com/subject/1295124/,2013,"
2006-09-11
",印象很深刻的是黑白画面中的红色。,5105
31,https://movie.douban.com/subject/1295124/,西梨,"
2008-06-29
",出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。,2678
32,https://movie.douban.com/subject/1295124/,veronique,"
2006-06-15
",请看一部没有笑容的电影吧,2075
33,https://movie.douban.com/subject/1295124/,珍妮的肖像,"
2006-11-13
",不仅仅是犹太人，而是整个人类的悲剧。,1720
34,https://movie.douban.com/subject/1295124/,巴乌,"
2006-04-25
",我哭死算了我,1435
35,https://movie.douban.com/subject/3541415/,桃桃林林,"
2010-09-01
",1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,12966
36,https://movie.douban.com/subject/3541415/,陈允然,"
2010-07-17
",我的陀螺停不下来了。,4599
37,https://movie.douban.com/subject/3541415/,熊白白,"
2010-07-17
",列奥纳多干完这票肯定是要去ShutterIsland修养一阵了。,892
38,https://movie.douban.com/subject/3541415/,longer,"
2010-07-12
",概念不算新鲜但还不错;p充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……,449
39,https://movie.douban.com/subject/3541415/,TheSingingSea,"
2010-07-19
",永远别用回忆来建构你的梦境,566
40,https://movie.douban.com/subject/3011091/,神迦乐小舞,"
2010-02-06
",这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。,2824
41,https://movie.douban.com/subject/3011091/,Y,"
2010-02-17
",“等有一天它会给你捡球的时候，一定有什么特殊的理由”八公用这种方式来告别了他的主人....,1815
42,https://movie.douban.com/subject/3011091/,塔塔,"
2010-02-21
",这次不是拉布拉多，不是金毛，是默默无闻的秋田犬~在电影的最后部分我哭的稀里哗啦，意气风发的八公老了，脏了，以前不怎么喜欢他的女主人抱着它感动的流泪，大雪纷飞的夜里因为有火车来了八公又在等，似乎是回光返照般的看见男主人一如从前那样从火车站里走出来张开双臂要拥抱他~其实狗狗什么都知道,1340
43,https://movie.douban.com/subject/3011091/,Jiong,"
2010-02-21
",所以说，与人打交道越多，就会越喜欢狗,651
44,https://movie.douban.com/subject/3011091/,战国客,"
2010-02-28
",感动你们的是电影，还是故事本身？,399
45,https://movie.douban.com/subject/1292001/,Soblue,"
2007-03-12
",我总觉得这是一个真实的故事，因为他的懦弱，懦弱得真实。,12970
46,https://movie.douban.com/subject/1292001/,河布,"
2006-10-16
",海上乌托邦,2355
47,https://movie.douban.com/subject/1292001/,眠去,"
2008-12-19
",我就爱他说，fucktheregulations!!,1987
48,https://movie.douban.com/subject/1292001/,凌睿,"
2012-08-07
","在船上出生，在船上死亡，他是一个从来没有存在过的人。
第一次放弃下船，他放弃了财富和名气。
第二次放弃下船，他放弃了生命。
人们把音乐当成一种比赛，他不在意虚名和输赢。
人们想利用他的才华致富，他不愿意让他的音乐离开他。
人们浪费了太多的时间去问“为什么”，他想活得简单点。
宁愿一生孤独，不愿随波逐流。
人可以下船，但是不能离开大海。
每个人的心中都有一片海，而他的大海是音乐，是钢琴，是那个女孩。",1444
49,https://movie.douban.com/subject/1292001/,白日梦小姐,"
2007-12-19
",我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。,1020
50,https://movie.douban.com/subject/2131459/,鲍小斯,"
2008-09-12
",我看哭了。。。,2350
51,https://movie.douban.com/subject/2131459/,Doublebitch,"
2008-10-28
",陈奕迅都为你唱歌了,1194
52,https://movie.douban.com/subject/2131459/,陈重重,"
2009-02-01
",地球上最后一個收納歸類狂walle應該是巨蟹座吧。。,543
53,https://movie.douban.com/subject/2131459/,娘圈圈瞎比比,"
2015-03-07
",到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。,427
54,https://movie.douban.com/subject/2131459/,浪味仙,"
2008-10-13
",Justneedsomeonewhowilllookafteryou,234
55,https://movie.douban.com/subject/3793023/,Q。,"
2010-08-09
",一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。末了的那段风光让我无比钟情！★★★★★,2206
56,https://movie.douban.com/subject/3793023/,Super小麦,"
2010-05-09
",阿米尔·汗你是个天才！！！,1446
57,https://movie.douban.com/subject/3793023/,烨色正浓,"
2010-08-04
","该片的中文翻译太烂了，差点就错过欣赏一部好作品了。
兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。
的确，他让朋友们重新认识了自己和所要坚定的方向。
很喜欢片尾的那片湖泊，不知道是在哪里呢？",1151
58,https://movie.douban.com/subject/3793023/,影志,"
2011-02-04
",近三个小时的片长，却没有一个多余的情节，剧情前后呼应之巧妙值得称奇。好电影不一定要苦大仇深，能真正愉悦观众，那也是一种巅峰。“做一名摄影家又会怎样呢？挣得少一点，房子小一点，车小一点，但我会很快乐，很幸福……紧跟你的天赋。”温暖励志美妙如2010年的《天堂电影院》+《阿甘正传》,724
59,https://movie.douban.com/subject/3793023/,朴九月,"
2010-12-25
",六星都不够。最后男主角戴眼镜那个形象好像吴彦祖！,523
60,https://movie.douban.com/subject/1292064/,narcissus,"
2006-04-21
",每个人都向往自由而不仅仅是安定,4934
61,https://movie.douban.com/subject/1292064/,斯齊佐飛力尼克,"
2011-09-25
",就算是已经完全知道剧情走向也还是被震撼被感动。就算你能摄影我的一切也无法在我脑内安装摄影机。,3549
62,https://movie.douban.com/subject/1292064/,同志亦凡人中文站,"
2013-03-14
",当你望着深渊的时候，深渊也在回望你。楚门之外的世界，又会有怎么样的窥探？最怕的是，我们永远无法求证自己身处在哪个世界。,1218
63,https://movie.douban.com/subject/1292064/,蒜|BOYA✎,"
2014-06-08
",这是一部每个中国人和每名中国同志都应该看的电影，我们就是无数的楚门，生活在这个时代。我们的命运被操控在他人手中，大多数人还并没有发现，更多的人发现了也无力挣脱。心灵的顿悟是人生的必修课，你不去选择它，它就会左右你。“人生如戏，戏如人生”,1066
64,https://movie.douban.com/subject/1292064/,掉线,"
2011-09-17
",神作！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,632
65,https://movie.douban.com/subject/1291549/,大时代.歌姬,"
2008-08-01
",纸飞机+挥动的小手——那一刻，什么都值了,7181
66,https://movie.douban.com/subject/1291549/,A-sun*,"
2010-05-15
",莫翰奇每一次独唱我都热泪盈眶.,3205
67,https://movie.douban.com/subject/1291549/,大头绿豆,"
2006-08-24
",体育和音乐是促进国家团结的要素。可是俺都不会哈哈。,1956
