电影名称,评分,短评数量,前 5 条热门短评
当幸福来敲门 The Pursuit of Happyness,9.1,153513,"孩子母亲颤抖着说你会照顾好他；装扮成时光机器来安抚孩子，子夜洗手间中独自哭泣；“你是个好爸爸”，孩子说。看电影的时候，我的手经常不自觉的紧握着，为那揪心的困窘。幸福在这里敲门了，可是那些没有被敲门的人呢？"
当幸福来敲门 The Pursuit of Happyness,9.1,153513,生活时常会让我们感到艰辛，并会让我们无数次目睹生命在各种重压下的扭曲与变形。——《生命不可承受之轻》
当幸福来敲门 The Pursuit of Happyness,9.1,153513,"失业时候看的,简直是催泪弹,WILL的儿子将来一定是块料,奥斯卡上看他跟小美女打闹,忒逗."
怦然心动 Flipped,9.1,266777,某山渣树怎么好意思说自己是史上最纯？？！！！！！ 这个真打动我了。。。女孩是第二眼美女！！！！！！！！！！
怦然心动 Flipped,9.1,266777,萌死我算了，男主太帅了吧！
怦然心动 Flipped,9.1,266777,"Some of us get dipped in flat, some in satin, some in gloss. But every once in a while, you find someone who's iridescent. And when you do, nothing will ever compare.有些人浅薄，有些人金玉其外而败絮其中。有天你会遇到一个彩虹般绚丽的人..."
怦然心动 Flipped,9.1,266777,可能比山楂树还纯哦！
怦然心动 Flipped,9.1,266777,越看越觉得自己真是老了。。。。。
触不可及 Intouchables,9.2,145858,毫不基情的友情片！
触不可及 Intouchables,9.2,145858,原声实在是棒！两个演员都很精彩 完全是笑声和泪水齐飞的电影！！！
触不可及 Intouchables,9.2,145858,某个人在不经意间走进你的生活，他和你不同阶层，不完美，甚至有不少讨人厌的毛病，但是长期的相互信任和理解成就了一段真挚友情，也给两个人的生活都带来了阳光。把德瑞斯的原型改成黑人使对比更强烈情节更戏剧化，也让这段超越种族的友情更感人。影片里乘着滑翔伞在山谷中翱翔那幕太美了……
触不可及 Intouchables,9.2,145858,但你们真的好容易被感动哦。
触不可及 Intouchables,9.2,145858,其实是一份无甚惊喜的叙事和感动。
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,113044,诺兰接手后蝙蝠侠和其它漫画英雄片完全不是一个等级了
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,113044,小丑把该说的不该说的都说了 蝙蝠侠把该做的不该做的都做了 生命在于抉择 英雄的时代已经逝去了
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,113044,“有些人并不喜欢那些常人偏爱的东西，比如金钱，他们不被收买、不会被恐吓、不可理喻、更不接受谈判，有些人就想看人间地狱。” 也只有蝙蝠侠，才能让小丑变得完整。无尽的黑暗。
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,113044,当之无愧最出色的商业电影！
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,113044,瑞秋怎么能丑成这样啊，满脸的褶子
控方证人 Witness for the Prosecution,9.6,70152,查尔斯劳顿简直是戏精！比利怀德的电影和阿加莎克里斯蒂的小说都是在结尾峰回路转，此片简直是两位大师珠联璧合的杰作！
控方证人 Witness for the Prosecution,9.6,70152,阿加莎·克里斯蒂的精妙情节配上比利·怀德的风趣对白，以及查尔斯·劳顿、玛琳·黛德丽、泰隆·鲍华等人的精彩表演，几近完美的电影。不老的玛琳·黛德丽，又被感动了，真棒。
控方证人 Witness for the Prosecution,9.6,70152,这片最大的反转不是影片末尾的谜底揭晓，而是看完影片后我查到女主角拍摄时已经五十六岁了。昏迷。
控方证人 Witness for the Prosecution,9.6,70152,阿加莎和怀尔德的完美结合 一群戏骨的完美演绎 意外而又意料的主线、熠熠生辉的细节向世人证明：小说和电影的结合能达到如何的高度 要是需要我用一句话来评价我的douban NO.1500部电影 那只能是：此曲只应天上有，人间难得几回闻
控方证人 Witness for the Prosecution,9.6,70152,比利怀尔德的电影总是那么好看，老律师的一言一行都充满了喜感，法庭场面非常精彩，整个过程中的一些阴暗交易和最好的反转，有让影片有了一丝黑色电影的气质，力荐！
活着,9.2,103203,年代记实录，看了让人不舒服，特别是里面的台词，虽然他们在拼尽全力的活着，可是却又显得如此可笑和悲凉。“小鸡长大了就变成了鹅，鹅长大了就变成了羊，羊长大了就变成了牛，牛长大了就是共产主义了。”
活着,9.2,103203,个人认为是张义谋最好的电影。
活着,9.2,103203,能活在现在这个时代其实还是很庆幸的了，虽然天朝依旧威武。
活着,9.2,103203,一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。
活着,9.2,103203,演员选得很好，巩俐演啥像啥。但整体没有小说感人，可能小说太残酷了吧。兴，百姓苦；亡，百姓苦。活到最后的人，往往最痛苦。
